,School,Year,Seed,Exit Round,Bid Type,Region
0,Abilene Christian,2019,15,First Round,Automatic Qualifier,Midwest
1,Air Force,2006,13,First Round,At Large,East
2,Air Force,2004,11,First Round,At Large,South
3,Akron,2013,12,First Round,Automatic Qualifier,South
4,Akron,2011,15,First Round,Automatic Qualifier,Southwest
5,Akron,2009,13,First Round,Automatic Qualifier,South
6,Akron,1986,15,First Round,Automatic Qualifier,Midwest
7,Alabama,2018,9,Second Round,At Large,East
8,Alabama,2012,9,First Round,At Large,Midwest
9,Alabama,2006,10,Second Round,At Large,West
10,Alabama,2005,5,First Round,At Large,Midwest
11,Alabama,2004,8,Elite Eight,At Large,West
12,Alabama,2003,10,First Round,At Large,Midwest
13,Alabama,2002,2,Second Round,At Large,South
14,Alabama,1995,5,Second Round,At Large,East
15,Alabama,1994,9,Second Round,At Large,Southeast
16,Alabama,1992,5,Second Round,At Large,Southeast
17,Alabama,1991,4,Sweet 16,Automatic Qualifier,Southeast
18,Alabama,1990,7,Sweet 16,Automatic Qualifier,West
19,Alabama,1989,6,First Round,Automatic Qualifier,Southeast
20,Alabama,1987,2,Sweet 16,Automatic Qualifier,Southeast
21,Alabama,1986,5,Sweet 16,At Large,Southeast
22,Alabama,1985,7,Sweet 16,At Large,West
23,Alabama A&amp;M,2005,16,Play-In,Automatic Qualifier,East
24,Alabama State,2011,16,Play-In,Automatic Qualifier,East
25,Alabama State,2009,16,Play-In,Automatic Qualifier,Midwest
26,Alabama State,2004,16,First Round,Automatic Qualifier,South
27,Alabama State,2001,16,First Round,Automatic Qualifier,South
28,Alabama-Birmingham,2015,14,Second Round,Automatic Qualifier,South
29,Alabama-Birmingham,2011,12,Play-In,Automatic Qualifier,East
30,Alabama-Birmingham,2006,9,First Round,At Large,East
31,Alabama-Birmingham,2005,11,Second Round,At Large,Midwest
32,Alabama-Birmingham,2004,9,Sweet 16,At Large,Midwest
33,Alabama-Birmingham,1999,12,First Round,At Large,West
34,Alabama-Birmingham,1994,7,First Round,At Large,East
35,Alabama-Birmingham,1990,10,First Round,At Large,East
36,Alabama-Birmingham,1987,11,First Round,Automatic Qualifier,Southeast
37,Alabama-Birmingham,1986,6,Second Round,At Large,West
38,Alabama-Birmingham,1985,7,Second Round,At Large,Midwest
39,Albany (N.Y.),2015,14,First Round,Automatic Qualifier,East
40,Albany (N.Y.),2014,16,First Round,Automatic Qualifier,South
41,Albany (N.Y.),2013,15,First Round,Automatic Qualifier,Midwest
42,Albany (N.Y.),2007,13,First Round,Automatic Qualifier,South
43,Albany (N.Y.),2006,16,First Round,Automatic Qualifier,East
44,Alcorn State,2002,16,Play-In,Automatic Qualifier,East
45,Alcorn State,1999,15,First Round,Automatic Qualifier,West
46,American,2014,15,First Round,Automatic Qualifier,West
47,American,2009,14,First Round,Automatic Qualifier,East
48,American,2008,15,First Round,Automatic Qualifier,East
49,Appalachian State,2000,14,First Round,Automatic Qualifier,South
50,Arizona,2018,4,First Round,Automatic Qualifier,South
51,Arizona,2017,2,Sweet 16,Automatic Qualifier,West
52,Arizona,2016,6,First Round,Automatic Qualifier,South
53,Arizona,2015,2,Elite Eight,Automatic Qualifier,West
54,Arizona,2014,1,Elite Eight,At Large,West
55,Arizona,2013,6,Sweet 16,Automatic Qualifier,West
56,Arizona,2011,5,Elite Eight,At Large,West
57,Arizona,2009,12,Sweet 16,At Large,Midwest
58,Arizona,2008,10,First Round,At Large,West
59,Arizona,2007,8,First Round,At Large,Midwest
60,Arizona,2006,8,Second Round,At Large,Midwest
61,Arizona,2005,3,Elite Eight,At Large,Midwest
62,Arizona,2004,9,First Round,At Large,South
63,Arizona,2003,1,Elite Eight,At Large,West
64,Arizona,2002,3,Sweet 16,Automatic Qualifier,West
65,Arizona,2001,2,National Championship,At Large,Midwest
66,Arizona,2000,1,Second Round,Automatic Qualifier,West
67,Arizona,1999,4,First Round,At Large,Midwest
68,Arizona,1998,1,Elite Eight,Automatic Qualifier,West
69,Arizona,1997,4,National Championship,At Large,Southeast
70,Arizona,1996,3,Sweet 16,At Large,West
71,Arizona,1995,5,First Round,At Large,Midwest
72,Arizona,1994,2,Final Four,Automatic Qualifier,West
73,Arizona,1993,2,First Round,Automatic Qualifier,West
74,Arizona,1992,3,First Round,At Large,Southeast
75,Arizona,1991,2,Sweet 16,Automatic Qualifier,West
76,Arizona,1990,2,Second Round,At Large,West
77,Arizona,1989,1,Sweet 16,Automatic Qualifier,West
78,Arizona,1988,1,Final Four,Automatic Qualifier,West
79,Arizona,1987,10,First Round,At Large,West
80,Arizona,1986,9,First Round,Automatic Qualifier,West
81,Arizona,1985,10,First Round,At Large,West
82,Arizona State,2019,11,First Round,At Large,West
83,Arizona State,2018,11,Play-In,At Large,Midwest
84,Arizona State,2014,10,First Round,At Large,Midwest
85,Arizona State,2009,6,Second Round,At Large,South
86,Arizona State,2003,10,Second Round,At Large,West
87,Arizona State,1995,5,Sweet 16,At Large,Southeast
88,Arizona State,1991,8,Second Round,At Large,Southeast
89,Arkansas,2018,7,First Round,At Large,East
90,Arkansas,2017,8,Second Round,At Large,South
91,Arkansas,2015,5,Second Round,At Large,West
92,Arkansas,2008,9,Second Round,At Large,East
93,Arkansas,2007,12,First Round,At Large,East
94,Arkansas,2006,8,First Round,At Large,West
95,Arkansas,2001,7,First Round,At Large,West
96,Arkansas,2000,11,First Round,Automatic Qualifier,South
97,Arkansas,1999,4,Second Round,At Large,West
98,Arkansas,1998,6,Second Round,At Large,West
99,Arkansas,1996,12,Sweet 16,At Large,East
100,Arkansas,1995,2,National Championship,At Large,Midwest
101,Arkansas,1994,1,National Championship,At Large,Midwest
102,Arkansas,1993,4,Sweet 16,At Large,East
103,Arkansas,1992,3,Second Round,At Large,Midwest
104,Arkansas,1991,1,Elite Eight,Automatic Qualifier,Southeast
105,Arkansas,1990,4,Final Four,Automatic Qualifier,Midwest
106,Arkansas,1989,5,Second Round,Automatic Qualifier,Midwest
107,Arkansas,1988,11,First Round,At Large,Southeast
108,Arkansas,1985,9,Second Round,At Large,West
109,Arkansas State,1999,15,First Round,Automatic Qualifier,Midwest
110,Arkansas-Little Rock,2016,12,Second Round,Automatic Qualifier,Midwest
111,Arkansas-Little Rock,2011,16,Play-In,Automatic Qualifier,Southeast
112,Arkansas-Little Rock,1990,16,First Round,Automatic Qualifier,West
113,Arkansas-Little Rock,1989,13,First Round,Automatic Qualifier,Midwest
114,Arkansas-Little Rock,1986,14,Second Round,Automatic Qualifier,Midwest
115,Arkansas-Pine Bluff,2010,16,First Round,Automatic Qualifier,South
116,Auburn,2019,5,Elite Eight,Automatic Qualifier,Midwest
117,Auburn,2018,4,Final Four,At Large,Midwest
118,Auburn,2003,10,Sweet 16,At Large,East
119,Auburn,2000,7,Second Round,At Large,Midwest
120,Auburn,1999,1,Sweet 16,At Large,South
121,Auburn,1988,8,Second Round,At Large,Southeast
122,Auburn,1987,8,Second Round,At Large,Midwest
123,Auburn,1986,8,Elite Eight,At Large,West
124,Auburn,1985,11,Sweet 16,Automatic Qualifier,Southeast
125,Austin Peay,2016,16,First Round,Automatic Qualifier,South
126,Austin Peay,2008,15,First Round,Automatic Qualifier,South
127,Austin Peay,2003,13,First Round,Automatic Qualifier,East
128,Austin Peay,1996,14,First Round,Automatic Qualifier,Southeast
129,Austin Peay,1987,14,Second Round,Automatic Qualifier,Southeast
130,Ball State,2000,11,First Round,Automatic Qualifier,Midwest
131,Ball State,1995,12,First Round,Automatic Qualifier,Southeast
132,Ball State,1993,15,First Round,Automatic Qualifier,Midwest
133,Ball State,1990,12,Sweet 16,Automatic Qualifier,West
134,Ball State,1989,9,Second Round,Automatic Qualifier,Midwest
135,Ball State,1986,14,First Round,Automatic Qualifier,Southeast
136,Baylor,2019,9,Second Round,At Large,West
137,Baylor,2017,3,Sweet 16,At Large,East
138,Baylor,2016,5,First Round,At Large,West
139,Baylor,2015,3,First Round,At Large,West
140,Baylor,2014,6,Sweet 16,At Large,West
141,Baylor,2012,3,Elite Eight,At Large,South
142,Baylor,2010,3,Elite Eight,At Large,South
143,Baylor,2008,11,First Round,At Large,West
144,Baylor,1988,8,First Round,At Large,Midwest
145,Belmont,2019,11,First Round,At Large,East
146,Belmont,2015,15,First Round,Automatic Qualifier,East
147,Belmont,2013,11,First Round,Automatic Qualifier,West
148,Belmont,2012,14,First Round,Automatic Qualifier,Midwest
149,Belmont,2011,13,First Round,Automatic Qualifier,Southeast
150,Belmont,2008,15,First Round,Automatic Qualifier,West
151,Belmont,2007,15,First Round,Automatic Qualifier,East
152,Belmont,2006,15,First Round,Automatic Qualifier,West
153,Binghamton,2009,15,First Round,Automatic Qualifier,East
154,Boise State,2015,11,Play-In,At Large,East
155,Boise State,2013,13,Play-In,At Large,West
156,Boise State,2008,14,First Round,Automatic Qualifier,East
157,Boise State,1994,14,First Round,Automatic Qualifier,West
158,Boise State,1993,14,First Round,Automatic Qualifier,West
159,Boise State,1988,14,First Round,Automatic Qualifier,West
160,Boston College,2009,7,First Round,At Large,Midwest
161,Boston College,2007,7,Second Round,At Large,East
162,Boston College,2006,4,Sweet 16,At Large,Midwest
163,Boston College,2005,4,Second Round,At Large,Midwest
164,Boston College,2004,6,Second Round,At Large,Midwest
165,Boston College,2002,11,First Round,At Large,Midwest
166,Boston College,2001,3,Second Round,Automatic Qualifier,East
167,Boston College,1997,5,Second Round,Automatic Qualifier,West
168,Boston College,1996,11,Second Round,At Large,Southeast
169,Boston College,1994,9,Elite Eight,At Large,East
170,Boston College,1985,11,Sweet 16,At Large,Midwest
171,Boston University,2011,16,First Round,At Large,Southwest
172,Boston University,2002,16,First Round,Automatic Qualifier,West
173,Boston University,1997,12,First Round,Automatic Qualifier,Midwest
174,Boston University,1990,16,First Round,Automatic Qualifier,East
175,Boston University,1988,15,First Round,Automatic Qualifier,East
176,Bradley,2019,15,First Round,Automatic Qualifier,East
177,Bradley,2006,13,Sweet 16,At Large,West
178,Bradley,1996,8,First Round,At Large,East
179,Bradley,1988,9,First Round,Automatic Qualifier,Southeast
180,Bradley,1986,7,Second Round,At Large,West
181,Brigham Young,2020,7,Play-In,At Large,2015
182,Brigham Young,11,Play-In,At Large,West,2014
183,Brigham Young,10,First Round,At Large,West,2012
184,Brigham Young,14,First Round,At Large,West,2011
185,Brigham Young,3,Sweet 16,At Large,Southeast,2010
186,Brigham Young,7,Second Round,At Large,West,2009
187,Brigham Young,8,First Round,At Large,West,2008
188,Brigham Young,8,First Round,At Large,West,2007
189,Brigham Young,8,First Round,At Large,South,2004
190,Brigham Young,12,First Round,At Large,West,2003
191,Brigham Young,12,First Round,At Large,South,2001
192,Brigham Young,12,First Round,Automatic Qualifier,West,1995
193,Brigham Young,8,First Round,At Large,Southeast,1993
194,Brigham Young,7,Second Round,At Large,Midwest,1992
195,Brigham Young,10,First Round,Automatic Qualifier,West,1991
196,Brigham Young,10,Second Round,Automatic Qualifier,West,1990
197,Brigham Young,12,First Round,At Large,East,1988
198,Brigham Young,4,Second Round,At Large,Southeast,1987
199,Brown,1986,15,First Round,Automatic Qualifier,East
200,Bucknell,2018,14,First Round,Automatic Qualifier,Midwest
201,Bucknell,2017,13,First Round,Automatic Qualifier,West
202,Bucknell,2013,11,First Round,Automatic Qualifier,East
203,Bucknell,2011,14,First Round,Automatic Qualifier,West
204,Bucknell,2006,9,Second Round,Automatic Qualifier,West
205,Bucknell,2005,14,Second Round,Automatic Qualifier,East
206,Bucknell,1989,15,First Round,Automatic Qualifier,Midwest
207,Bucknell,1987,16,First Round,Automatic Qualifier,Southeast
208,Buffalo,2019,6,Second Round,Automatic Qualifier,West
209,Buffalo,2018,13,Second Round,Automatic Qualifier,South
210,Buffalo,2016,14,First Round,Automatic Qualifier,South
211,Buffalo,2015,12,First Round,Automatic Qualifier,Midwest
212,Butler,2018,10,Second Round,At Large,East
213,Butler,2017,4,Sweet 16,At Large,South
214,Butler,2016,9,Second Round,At Large,Midwest
215,Butler,2015,6,Second Round,At Large,Midwest
216,Butler,2013,6,Second Round,At Large,East
217,Butler,2011,8,National Championship,Automatic Qualifier,Southeast
218,Butler,2010,5,National Championship,Automatic Qualifier,West
219,Butler,2009,9,First Round,At Large,South
220,Butler,2008,7,Second Round,Automatic Qualifier,East
221,Butler,2007,5,Sweet 16,At Large,Midwest
222,Butler,2003,12,Sweet 16,At Large,East
223,Butler,2001,10,Second Round,Automatic Qualifier,Midwest
224,Butler,2000,12,First Round,Automatic Qualifier,East
225,Butler,1998,13,First Round,Automatic Qualifier,South
226,Butler,1997,14,First Round,Automatic Qualifier,Midwest
227,Cal State Bakersfield,2016,15,First Round,Automatic Qualifier,West
228,Cal State Fullerton,2018,15,First Round,Automatic Qualifier,East
229,Cal State Fullerton,2008,14,First Round,Automatic Qualifier,Midwest
230,Cal State Northridge,2009,15,First Round,Automatic Qualifier,West
231,Cal State Northridge,2001,13,First Round,Automatic Qualifier,Midwest
232,Cal-Poly,2014,16,First Round,Automatic Qualifier,Midwest
233,California,2016,4,First Round,At Large,South
234,California,2013,12,Second Round,At Large,East
235,California,2012,12,Play-In,At Large,Midwest
236,California,2010,8,Second Round,At Large,South
237,California,2009,7,First Round,At Large,West
238,California,2006,7,First Round,At Large,South
239,California,2003,8,Second Round,At Large,East
240,California,2002,6,Second Round,At Large,South
241,California,2001,8,First Round,At Large,South
242,California,1997,5,Sweet 16,At Large,East
243,California,1996,12,First Round,At Large,Midwest
244,California,1994,5,First Round,At Large,West
245,California,1993,6,Sweet 16,At Large,Midwest
246,California,1990,9,Second Round,At Large,East
247,Campbell,1992,16,First Round,Automatic Qualifier,East
248,Canisius,1996,13,First Round,Automatic Qualifier,Midwest
249,Central Connecticut State,2007,16,First Round,Automatic Qualifier,South
250,Central Connecticut State,2002,14,First Round,Automatic Qualifier,South
251,Central Connecticut State,2000,15,First Round,Automatic Qualifier,Midwest
252,Central Florida,2019,9,Second Round,At Large,East
253,Central Florida,2005,15,First Round,Automatic Qualifier,East
254,Central Florida,2004,14,First Round,Automatic Qualifier,East
255,Central Florida,1996,16,First Round,Automatic Qualifier,East
256,Central Florida,1994,16,First Round,Automatic Qualifier,Southeast
257,Central Michigan,2003,11,Second Round,Automatic Qualifier,West
258,Central Michigan,1987,13,First Round,Automatic Qualifier,West
259,Charleston Southern,1997,15,First Round,Automatic Qualifier,Midwest
260,Charlotte,2005,7,First Round,At Large,East
261,Charlotte,2004,9,First Round,At Large,East
262,Charlotte,2002,9,First Round,At Large,South
263,Charlotte,2001,9,Second Round,Automatic Qualifier,Midwest
264,Charlotte,1999,5,Second Round,Automatic Qualifier,Midwest
265,Charlotte,1998,8,Second Round,At Large,East
266,Charlotte,1997,7,Second Round,At Large,West
267,Charlotte,1995,7,First Round,At Large,East
268,Charlotte,1992,7,First Round,At Large,East
269,Charlotte,1988,13,First Round,Automatic Qualifier,Southeast
270,Chattanooga,2016,12,First Round,At Large,East
271,Chattanooga,2009,16,First Round,Automatic Qualifier,West
272,Chattanooga,2005,15,First Round,Automatic Qualifier,West
273,Chattanooga,1997,14,Sweet 16,Automatic Qualifier,Southeast
274,Chattanooga,1995,15,First Round,Automatic Qualifier,West
275,Chattanooga,1994,13,First Round,Automatic Qualifier,Southeast
276,Chattanooga,1993,12,First Round,Automatic Qualifier,Southeast
277,Chattanooga,1988,16,First Round,Automatic Qualifier,Southeast
278,Cincinnati,2019,7,First Round,Automatic Qualifier,South
279,Cincinnati,2018,2,Second Round,Automatic Qualifier,South
280,Cincinnati,2017,6,Second Round,At Large,South
281,Cincinnati,2016,9,First Round,At Large,West
282,Cincinnati,2015,8,Second Round,At Large,Midwest
283,Cincinnati,2014,5,First Round,At Large,East
284,Cincinnati,2013,10,First Round,At Large,Midwest
285,Cincinnati,2012,6,Sweet 16,At Large,East
286,Cincinnati,2011,6,Second Round,At Large,West
287,Cincinnati,2005,7,Second Round,At Large,South
288,Cincinnati,2004,4,Second Round,Automatic Qualifier,South
289,Cincinnati,2003,8,First Round,At Large,West
290,Cincinnati,2002,1,Second Round,Automatic Qualifier,West
291,Cincinnati,2001,5,Sweet 16,At Large,West
292,Cincinnati,2000,2,Second Round,At Large,South
293,Cincinnati,1999,3,Second Round,At Large,East
294,Cincinnati,1998,2,Second Round,Automatic Qualifier,West
295,Cincinnati,1997,3,Second Round,At Large,Midwest
296,Cincinnati,1996,2,Elite Eight,At Large,Southeast
297,Cincinnati,1995,7,Second Round,At Large,West
298,Cincinnati,1994,8,First Round,At Large,West
299,Cincinnati,1993,2,Elite Eight,At Large,East
300,Cincinnati,1992,4,Final Four,At Large,Midwest
301,Clemson,2018,5,Sweet 16,At Large,Midwest
302,Clemson,2011,12,First Round,At Large,East
303,Clemson,2010,7,First Round,At Large,East
304,Clemson,2009,7,First Round,At Large,South
305,Clemson,2008,5,First Round,At Large,Midwest
306,Clemson,1998,6,First Round,At Large,Midwest
307,Clemson,1997,4,Sweet 16,At Large,Midwest
308,Clemson,1996,9,First Round,At Large,West
309,Clemson,1990,5,Sweet 16,At Large,East
310,Clemson,1989,9,Second Round,At Large,West
311,Clemson,1987,4,First Round,At Large,Southeast
312,Cleveland State,2009,13,Second Round,Automatic Qualifier,Midwest
313,Cleveland State,1986,14,Sweet 16,At Large,East
314,Coastal Carolina,2015,16,First Round,Automatic Qualifier,West
315,Coastal Carolina,2014,16,First Round,Automatic Qualifier,East
